tweet_id,text_info_conf,tweet_text
929989388863508480,0.7535,RT @CAFOD: We pray for all those affected by the earthquake in Iraq and Iran https://t.co/qja8zQSuQe
929992210988269569,1.0,"I had a heart attack waiting to hear back from my dad in Najaf (Iraq), about the earthquake ὢ5 Alhamdulillah https://t.co/dr757df16T"
929995053619138560,0.7,New #Earthquake. ἰE 4.4 - 44km E of #Kifri - #Iraq. 2017/11/13 08:29:01. #Temblor #Sismo #USGS #alert https://t.co/WagKP6kkTU
930000401776238592,0.3404,"Commanders of #IRGC, #Iran's Army visit #earthquake areas in Western Iran. https://t.co/6dOdulWQRf"
930001895288029184,1.0,RT @TomHall: #Breaking: Giant 7.2 #Earthquake hits Iraq ἞E἟6 #SundayMorning https://t.co/OargVOvsTu
930001895288029184,1.0,RT @TomHall: #Breaking: Giant 7.2 #Earthquake hits Iraq ἞E἟6 #SundayMorning https://t.co/OargVOvsTu
930001895288029184,1.0,RT @TomHall: #Breaking: Giant 7.2 #Earthquake hits Iraq ἞E἟6 #SundayMorning https://t.co/OargVOvsTu
930028106668179458,0.7788,but some ppl have their own tragic ways to show their sympathy with victims of #iran #iraq border #earthquake https://t.co/dZRyNTjMGG
930028106668179458,0.7788,but some ppl have their own tragic ways to show their sympathy with victims of #iran #iraq border #earthquake https://t.co/dZRyNTjMGG
930028106668179458,0.7788,but some ppl have their own tragic ways to show their sympathy with victims of #iran #iraq border #earthquake https://t.co/dZRyNTjMGG
930028106668179458,0.7788,but some ppl have their own tragic ways to show their sympathy with victims of #iran #iraq border #earthquake https://t.co/dZRyNTjMGG
930035325480722432,1.0,RT @Iran: Leader’s message on western #IranEarthquake https://t.co/QXYVCS5oD5 #Iran #Khamenei https://t.co/IQ8CBN87sh
930036397397995520,1.0,Is this for real? #FollowTheWhiteRabbit https://t.co/xTF0aRCPN2 https://t.co/1NXHvY340e
930056781308375040,0.6453,This just in ...Recent earthquake's ...Iran still shaking be nice now God is Watching https://t.co/D2xxjaZJ8g
930057284599853057,0.6175,RT @TWOFORTYEIGHTAM: What Earthquake? https://t.co/tXRK5fRocO https://t.co/hMYWCvHzqK
930059422033956869,1.0,Iran / Iraq gets hit with an earthquake. Boo fucking hoo. Allah not that great then? Or was he busy fucking a goat? https://t.co/q7z7tZlbCt
930059422033956869,1.0,Iran / Iraq gets hit with an earthquake. Boo fucking hoo. Allah not that great then? Or was he busy fucking a goat? https://t.co/q7z7tZlbCt
930059422033956869,1.0,Iran / Iraq gets hit with an earthquake. Boo fucking hoo. Allah not that great then? Or was he busy fucking a goat? https://t.co/q7z7tZlbCt
930061425673871361,0.6709999999999999,Please protect the suffering especially children today #earthquake in Iran/Persia https://t.co/uf6rdgRoMB
930069080173723648,0.7459,My heart goes with Iran and Iraq 7.3 #earthquake . Pray for sarpol-e zahab and #Kurdistan ὤFὤFὤF὚4὚4὚4 https://t.co/rSvmmreHlj
930072830032666626,0.6533,See the moment the earthquake struck https://t.co/GnxeYLgvg6 #USNews #USRC https://t.co/8JMMYlFHRY
930072924752670720,0.6848,New activation [#EMSR256]: Earthquake in Iraq https://t.co/0xHPjz0OJv #Copernicus #Earthquake #EUCivPro https://t.co/fxHl27wJGy
930079924010061824,0.6181,United in #Prayer for Iran &amp; Iraq after deadly earthquake. #PrayforIran #PrayforIraq ✝️ https://t.co/xubd3rKjJ1
930085434360778754,1.0,RT @Tasnimnews_EN: #Iran Continues Exporting Gas to #Iraq despite Strong Earthquake https://t.co/gqA1yjTPev https://t.co/MmYk6Xf7oM
930101728342675456,1.0,National Earthquake Information Center https://t.co/g27EugMEu0 Iraq https://t.co/1Zcaodc9Xh
930101728342675456,1.0,National Earthquake Information Center https://t.co/g27EugMEu0 Iraq https://t.co/1Zcaodc9Xh
930101728342675456,1.0,National Earthquake Information Center https://t.co/g27EugMEu0 Iraq https://t.co/1Zcaodc9Xh
930107355701874688,1.0,HI HELLO I AM GOD HERE ORDER PLEASE FIX ALL PRESIDENT ARE COUNTRY EMERGENCY HELP IRAQ AND IRAN HAVE EARTHQUAKE ! https://t.co/KeiP43dZXr
930114627219767296,0.6474,"M7.3 #earthquake 32km S of #Halabjah, #Iraq https://t.co/RaWMa9c146 #Sulaymānīyah #USGS #Geology https://t.co/SRb3uGuvWk"
930116035671416833,0.6452,#Earthquake effect Kuwait version #TamilansὄDὄCὊAἿB https://t.co/YUzFsDmxov
930116035671416833,0.6452,#Earthquake effect Kuwait version #TamilansὄDὄCὊAἿB https://t.co/YUzFsDmxov
930120851634102272,1.0,Pope offers ‘prayerful solidarity’ to Iran-Iraq earthquake victims https://t.co/5PjONWWwWS https://t.co/6elSjgEDLm
930121838763626496,1.0,RT @Pasargad_Bank: Our condolences due to loss of last night’s #earthquake victimsὤFἿBὤFἿBὤFἿB #iran #زلزله‌کرمانشاه https://t.co/adm58F7lSO
930132844516708355,1.0,☮️ #Humanity and ❤️ to everyone in #Iran &amp; #Iraq Ὁ5 #earthquake #rescue #help #aid https://t.co/nO8HfS2kKU
930135734056640512,0.6419,The local seismograph detected the Iran-Iraq earthquake making the detector ringing for more than 12 minutes!!! https://t.co/MQhO2SNLZR
930143820443873280,0.662,Twitter erupts after Iran-Iraq earthquake https://t.co/oPUH56Lgyu https://t.co/2rhsYAhTZ6
930151805576675328,0.3358,Toronto Sign will be dimmed today to honour the tragic loss of life in Sunday's earthquake in Iraq and Iran. https://t.co/NLDmSmyI9G
930151815789842434,0.6474,BREAKING: BILL GATES DEVELOPING SMART CITY AZ AGENDA 21 AND 7.3 EARTHQUAKE HITS IRAN… https://t.co/l2P1FzEhux https://t.co/IDL2NTUl8w
930153444156911616,1.0,Prayers for those who suffering the natural disaster in Iran ἞E἟7 and Iraq ἞E἟6 ὤF❤️ #Earthquake https://t.co/m62gkENhp3
